Participant_ID,Cycle_Phase,Craving_Type,Craved_Food_Item,Craving_Intensity,Craving_Frequency,Preferred_Action_When_Craving
P1253,Luteal,Salty,Nuts,1,Rare,Watch Movie
P1254,Ovulation,Sweet,Ice Cream,7,Sometimes,Watch Movie
P1255,Luteal,Sweet,Cake,4,Sometimes,Watch Movie
P1256,Follicular,Sweet,Ice Cream,3,Rare,Go Out
P1257,Luteal,Sweet,Ice Cream,7,Sometimes,Watch Movie
P1258,Follicular,Sweet,Cake,2,Often,Watch Movie
P1259,Luteal,Fatty,Burger,10,Always,Rest
P1260,Ovulation,Spicy,Pizza,1,Often,Watch Movie
P1261,Follicular,Spicy,Spicy Snacks,4,Always,Rest
P1262,Menstrual,Spicy,Pizza,8,Often,Watch Movie
P1263,Ovulation,Sweet,Cake,6,Often,Rest
P1264,Ovulation,Sweet,Chocolate,9,Sometimes,Watch Movie
P1265,Luteal,None,None,1,Often,Watch Movie
P1266,Luteal,Spicy,Tacos,1,Sometimes,Watch Movie
P1267,Luteal,Sweet,Candy,5,Sometimes,Rest
P1268,Follicular,Salty,Chips,6,Rare,Go Out
P1269,Ovulation,Fatty,Cheese,8,Sometimes,Rest
P1270,Ovulation,Spicy,Tacos,3,Often,Go Out
P1271,Follicular,None,None,6,Often,Rest
P1272,Menstrual,Fatty,Fries,3,Always,Watch Movie
P1273,Menstrual,Spicy,Spicy Snacks,8,Always,Watch Movie
P1274,Luteal,Fatty,Fries,4,Sometimes,Go Out
P1275,Luteal,Salty,Nuts,2,Always,Watch Movie
P1276,Menstrual,Salty,Popcorn,9,Often,Rest
P1277,Ovulation,Spicy,Pizza,10,Sometimes,Go Out
P1278,Follicular,Salty,Nuts,8,Sometimes,Go Out
P1279,Luteal,Spicy,Pizza,6,Always,Watch Movie
P1280,Menstrual,Sweet,Ice Cream,3,Often,Watch Movie
P1281,Ovulation,Sweet,Cookies,2,Often,Rest
P1282,Ovulation,None,None,4,Always,Watch Movie
P1283,Menstrual,Sweet,Chocolate,4,Often,Rest
P1284,Follicular,Fatty,Fries,1,Sometimes,Go Out
P1285,Luteal,Sweet,Cake,9,Rare,Watch Movie
P1286,Ovulation,Salty,Popcorn,10,Rare,Watch Movie
P1287,Menstrual,Salty,Popcorn,8,Often,Eat
P1288,Ovulation,Sweet,Ice Cream,7,Sometimes,Watch Movie
P1289,Follicular,Salty,Chips,6,Always,Go Out
P1290,Ovulation,Salty,Popcorn,3,Sometimes,Rest
P1291,Menstrual,Sweet,Candy,4,Often,Go Out
P1292,Follicular,Fatty,Fries,2,Often,Go Out
P1293,Menstrual,Spicy,Spicy Snacks,7,Sometimes,Watch Movie
P1294,Menstrual,Salty,Popcorn,2,Always,Watch Movie
P1295,Menstrual,Spicy,Tacos,10,Sometimes,Eat
P1296,Ovulation,Fatty,Burger,1,Often,Go Out
P1297,Luteal,Fatty,Cheese,6,Sometimes,Watch Movie
P1298,Menstrual,Spicy,Tacos,4,Often,Rest
P1299,Menstrual,Sweet,Cake,8,Always,Watch Movie
P1300,Menstrual,None,None,1,Sometimes,Eat
P1301,Follicular,None,None,9,Sometimes,Watch Movie
P1302,Luteal,Sweet,Chocolate,6,Rare,Go Out
P1303,Menstrual,Sweet,Candy,2,Sometimes,Eat
P1304,Ovulation,Salty,Chips,8,Sometimes,Rest
P1305,Follicular,None,None,5,Often,Eat
P1306,Luteal,Sweet,Chocolate,5,Sometimes,Watch Movie
P1307,Follicular,Sweet,Ice Cream,5,Often,Rest
P1308,Ovulation,Sweet,Cookies,7,Sometimes,Go Out
P1309,Menstrual,Fatty,Burger,7,Always,Watch Movie
P1310,Luteal,Salty,Chips,10,Sometimes,Watch Movie
P1311,Follicular,Fatty,Fries,7,Sometimes,Watch Movie
P1312,Follicular,Salty,Popcorn,10,Rare,Eat
P1313,Ovulation,Sweet,Ice Cream,2,Often,Watch Movie
P1314,Luteal,Salty,Nuts,8,Sometimes,Go Out
P1315,Menstrual,Sweet,Cookies,1,Often,Rest
P1316,Follicular,Sweet,Ice Cream,2,Often,Rest
P1317,Ovulation,Sweet,Cake,7,Sometimes,Eat
P1318,Ovulation,Fatty,Burger,4,Often,Go Out
P1319,Follicular,Salty,Popcorn,10,Sometimes,Watch Movie
P1320,Luteal,Sweet,Chocolate,10,Sometimes,Rest
P1321,Follicular,Sweet,Chocolate,9,Often,Rest
P1322,Ovulation,None,None,9,Sometimes,Rest
P1323,Menstrual,Sweet,Chocolate,3,Rare,Watch Movie
P1324,Luteal,Sweet,Candy,3,Sometimes,Rest
P1325,Ovulation,None,None,9,Often,Rest
P1326,Ovulation,Sweet,Ice Cream,10,Often,Rest
P1327,Follicular,Sweet,Cookies,8,Rare,Rest
P1328,Follicular,Salty,Chips,1,Often,Go Out
P1329,Menstrual,Salty,Chips,6,Sometimes,Go Out
P1330,Luteal,Sweet,Cookies,7,Rare,Go Out
P1331,Menstrual,Fatty,Cheese,8,Always,Watch Movie
P1332,Follicular,Salty,Nuts,2,Sometimes,Go Out
P1333,Ovulation,Fatty,Cheese,1,Often,Rest
P1334,Luteal,Fatty,Burger,4,Always,Go Out
P1335,Ovulation,Sweet,Cake,1,Often,Eat
P1336,Menstrual,Fatty,Cheese,2,Often,Eat
P1337,Menstrual,Fatty,Cheese,3,Often,Go Out
P1338,Ovulation,Fatty,Burger,4,Often,Eat
P1339,Ovulation,Sweet,Cake,6,Rare,Rest
P1340,Ovulation,Sweet,Chocolate,8,Often,Watch Movie
P1341,Ovulation,Spicy,Pizza,9,Rare,Go Out
P1342,Follicular,Spicy,Pizza,4,Rare,Watch Movie
P1343,Ovulation,Salty,Popcorn,1,Sometimes,Eat
P1344,Menstrual,Salty,Nuts,5,Often,Rest
P1345,Ovulation,Sweet,Cake,5,Rare,Watch Movie
P1346,Luteal,Salty,Nuts,9,Sometimes,Watch Movie
P1347,Menstrual,Salty,Chips,6,Always,Watch Movie
P1348,Menstrual,Salty,Chips,5,Often,Eat
P1349,Menstrual,Salty,Nuts,10,Always,Go Out
P1350,Ovulation,Fatty,Burger,10,Always,Rest
P1351,Follicular,Salty,Nuts,5,Sometimes,Rest
P1352,Luteal,None,None,8,Often,Watch Movie
P1353,Follicular,Fatty,Cheese,1,Often,Eat
P1354,Menstrual,Spicy,Spicy Snacks,5,Sometimes,Eat
P1355,Ovulation,Sweet,Ice Cream,1,Often,Rest
P1356,Luteal,Sweet,Cookies,7,Sometimes,Go Out
P1357,Luteal,Sweet,Cookies,7,Often,Eat
P1358,Menstrual,Spicy,Pizza,10,Sometimes,Go Out
P1359,Ovulation,Sweet,Cookies,8,Often,Go Out
P1360,Follicular,None,None,7,Often,Go Out
P1361,Menstrual,Sweet,Cookies,9,Often,Rest
P1362,Follicular,Salty,Nuts,8,Always,Go Out
P1363,Menstrual,Fatty,Fries,8,Always,Go Out
P1364,Luteal,Spicy,Spicy Snacks,3,Often,Rest
P1365,Menstrual,Spicy,Pizza,10,Often,Watch Movie
P1366,Ovulation,Salty,Chips,4,Rare,Go Out
P1367,Ovulation,None,None,4,Often,Watch Movie
P1368,Luteal,Salty,Nuts,1,Sometimes,Eat
P1369,Follicular,None,None,6,Sometimes,Go Out
P1370,Menstrual,Spicy,Tacos,2,Sometimes,Watch Movie
P1371,Ovulation,Salty,Chips,9,Often,Watch Movie
P1372,Ovulation,Fatty,Fries,1,Rare,Eat
P1373,Ovulation,Salty,Nuts,1,Sometimes,Rest
P1374,Follicular,Fatty,Burger,10,Sometimes,Watch Movie
P1375,Follicular,Salty,Nuts,6,Sometimes,Rest
P1376,Menstrual,Salty,Popcorn,1,Often,Go Out
P1377,Ovulation,Spicy,Tacos,3,Often,Go Out
P1378,Ovulation,Spicy,Pizza,10,Often,Go Out
P1379,Luteal,Sweet,Chocolate,2,Often,Watch Movie
P1380,Luteal,Sweet,Candy,9,Often,Eat
P1381,Luteal,Salty,Popcorn,5,Often,Rest
P1382,Follicular,Spicy,Tacos,6,Sometimes,Go Out
P1383,Ovulation,Sweet,Candy,2,Rare,Watch Movie
P1384,Follicular,Spicy,Spicy Snacks,8,Rare,Rest
P1385,Follicular,None,None,6,Often,Eat
P1386,Follicular,Salty,Popcorn,8,Always,Watch Movie
P1387,Menstrual,Spicy,Pizza,8,Sometimes,Go Out
P1388,Ovulation,Sweet,Chocolate,1,Sometimes,Watch Movie
P1389,Follicular,Spicy,Pizza,7,Often,Watch Movie
P1390,Follicular,Sweet,Cookies,2,Often,Rest
P1391,Follicular,Salty,Popcorn,8,Rare,Watch Movie
P1392,Menstrual,Sweet,Cookies,2,Often,Go Out
P1393,Ovulation,Spicy,Spicy Snacks,4,Sometimes,Rest
P1394,Menstrual,None,None,2,Sometimes,Go Out
P1395,Ovulation,Sweet,Cake,7,Sometimes,Go Out
P1396,Luteal,Spicy,Spicy Snacks,5,Sometimes,Go Out
P1397,Luteal,Salty,Nuts,9,Always,Rest
P1398,Luteal,Salty,Chips,5,Sometimes,Rest
P1399,Luteal,Salty,Popcorn,8,Sometimes,Eat
P1400,Menstrual,Sweet,Candy,2,Sometimes,Watch Movie
P1401,Luteal,Spicy,Pizza,3,Often,Watch Movie
P1402,Luteal,Salty,Popcorn,6,Sometimes,Eat
P1403,Menstrual,Fatty,Fries,7,Sometimes,Eat
P1404,Ovulation,Sweet,Chocolate,10,Often,Rest
P1405,Follicular,Fatty,Cheese,8,Always,Eat
P1406,Menstrual,Sweet,Candy,3,Rare,Rest
P1407,Luteal,None,None,7,Always,Go Out
P1408,Follicular,None,None,8,Always,Eat
P1409,Follicular,Fatty,Fries,10,Sometimes,Go Out
P1410,Luteal,Spicy,Spicy Snacks,6,Often,Go Out
P1411,Follicular,Salty,Nuts,4,Sometimes,Eat
P1412,Ovulation,Spicy,Tacos,6,Often,Eat
P1413,Luteal,Salty,Chips,9,Often,Watch Movie
P1414,Menstrual,Spicy,Tacos,3,Often,Go Out
P1415,Follicular,Fatty,Cheese,2,Sometimes,Eat
P1416,Menstrual,Fatty,Burger,5,Often,Rest
P1417,Follicular,Sweet,Cake,7,Rare,Go Out
P1418,Ovulation,Salty,Chips,3,Always,Watch Movie
P1419,Menstrual,Spicy,Spicy Snacks,5,Sometimes,Go Out
P1420,Luteal,Sweet,Ice Cream,4,Rare,Rest
P1421,Menstrual,Sweet,Cookies,7,Always,Watch Movie
P1422,Luteal,Spicy,Tacos,2,Sometimes,Watch Movie
P1423,Ovulation,Sweet,Cake,7,Often,Watch Movie
P1424,Luteal,Fatty,Burger,2,Often,Watch Movie
P1425,Luteal,Spicy,Tacos,3,Often,Go Out
P1426,Luteal,Salty,Nuts,5,Often,Eat
P1427,Menstrual,Sweet,Ice Cream,7,Always,Eat
P1428,Luteal,Sweet,Cake,6,Always,Rest
P1429,Follicular,Sweet,Ice Cream,7,Always,Eat
P1430,Menstrual,Sweet,Chocolate,6,Often,Eat
P1431,Menstrual,Sweet,Cookies,1,Often,Go Out
P1432,Follicular,Sweet,Candy,5,Often,Rest
P1433,Luteal,Salty,Chips,1,Often,Go Out
P1434,Luteal,Fatty,Cheese,7,Always,Rest
P1435,Ovulation,Sweet,Chocolate,4,Often,Eat
P1436,Luteal,Spicy,Tacos,5,Sometimes,Watch Movie
P1437,Follicular,Salty,Chips,1,Sometimes,Rest
P1438,Luteal,Spicy,Pizza,8,Sometimes,Rest
P1439,Ovulation,Fatty,Fries,4,Often,Go Out
P1440,Menstrual,None,None,3,Rare,Eat
P1441,Menstrual,Sweet,Ice Cream,1,Often,Go Out
P1442,Ovulation,Salty,Popcorn,4,Often,Go Out
P1443,Follicular,Sweet,Ice Cream,3,Often,Go Out
P1444,Ovulation,Sweet,Candy,8,Always,Watch Movie
P1445,Luteal,None,None,9,Often,Go Out
P1446,Follicular,Salty,Nuts,5,Sometimes,Rest
P1447,Ovulation,Salty,Nuts,9,Often,Eat
P1448,Menstrual,Sweet,Chocolate,1,Rare,Go Out
P1449,Luteal,Sweet,Ice Cream,7,Rare,Rest
P1450,Luteal,Sweet,Chocolate,7,Sometimes,Rest
P1451,Ovulation,Fatty,Cheese,6,Sometimes,Go Out
P1452,Follicular,Fatty,Cheese,4,Always,Rest
P1453,Follicular,Sweet,Ice Cream,9,Rare,Watch Movie
P1454,Menstrual,None,None,3,Sometimes,Watch Movie
P1455,Menstrual,Spicy,Tacos,1,Often,Rest
P1456,Follicular,None,None,2,Sometimes,Eat
P1457,Ovulation,Salty,Popcorn,3,Often,Eat
P1458,Menstrual,Spicy,Pizza,2,Rare,Eat
P1459,Ovulation,Sweet,Cake,6,Often,Rest
P1460,Menstrual,Sweet,Cookies,7,Always,Watch Movie
P1461,Follicular,Salty,Nuts,5,Sometimes,Go Out
P1462,Menstrual,Fatty,Fries,5,Often,Watch Movie
P1463,Luteal,None,None,7,Rare,Go Out
P1464,Menstrual,Sweet,Candy,6,Often,Rest
P1465,Ovulation,Salty,Chips,8,Always,Go Out
P1466,Follicular,Salty,Popcorn,9,Often,Go Out
P1467,Luteal,Sweet,Cake,2,Rare,Watch Movie
P1468,Ovulation,Sweet,Ice Cream,2,Sometimes,Rest
P1469,Menstrual,Sweet,Candy,1,Often,Eat
P1470,Menstrual,Sweet,Cake,7,Often,Watch Movie
P1471,Menstrual,None,None,4,Always,Go Out
P1472,Ovulation,Sweet,Ice Cream,9,Always,Rest
P1473,Luteal,None,None,6,Always,Rest
P1474,Follicular,Sweet,Cake,7,Always,Eat
P1475,Menstrual,None,None,7,Sometimes,Rest
P1476,Menstrual,Salty,Popcorn,8,Sometimes,Watch Movie
P1477,Menstrual,Spicy,Pizza,4,Always,Go Out
P1478,Menstrual,Spicy,Tacos,3,Often,Watch Movie
P1479,Follicular,Salty,Nuts,3,Often,Rest
P1480,Luteal,Sweet,Candy,10,Always,Rest
P1481,Ovulation,None,None,8,Always,Go Out
P1482,Luteal,Fatty,Cheese,3,Always,Watch Movie
P1483,Menstrual,Sweet,Chocolate,8,Rare,Rest
P1484,Menstrual,Fatty,Fries,2,Sometimes,Watch Movie
P1485,Menstrual,Fatty,Fries,5,Sometimes,Watch Movie
P1486,Ovulation,Salty,Chips,5,Rare,Rest
P1487,Follicular,Salty,Popcorn,7,Often,Rest
P1488,Luteal,Sweet,Candy,5,Often,Eat
P1489,Ovulation,Spicy,Pizza,9,Often,Go Out
P1490,Ovulation,Sweet,Cookies,3,Often,Go Out
P1491,Menstrual,Spicy,Tacos,9,Often,Rest
P1492,Follicular,Salty,Popcorn,1,Often,Go Out
P1493,Luteal,Salty,Popcorn,3,Often,Eat
P1494,Luteal,Sweet,Ice Cream,4,Always,Rest
P1495,Follicular,Salty,Chips,6,Often,Watch Movie
P1496,Menstrual,Salty,Chips,10,Often,Go Out
P1497,Luteal,Spicy,Pizza,8,Always,Go Out
P1498,Ovulation,Spicy,Pizza,7,Always,Rest
P1499,Follicular,Sweet,Cake,8,Often,Go Out
P1500,Luteal,Salty,Nuts,6,Often,Eat
P1501,Luteal,None,None,6,Always,Eat
P1502,Follicular,Salty,Nuts,6,Rare,Eat
P1503,Ovulation,None,None,3,Often,Eat
P1504,Ovulation,None,None,10,Often,Rest
P1505,Menstrual,Salty,Chips,4,Always,Watch Movie
P1506,Menstrual,Salty,Popcorn,6,Often,Eat
P1507,Menstrual,Sweet,Cookies,7,Rare,Eat
P1508,Menstrual,Sweet,Chocolate,3,Often,Go Out
P1509,Ovulation,Fatty,Cheese,4,Always,Watch Movie
P1510,Luteal,None,None,6,Sometimes,Eat
P1511,Menstrual,Spicy,Tacos,1,Always,Go Out
P1512,Ovulation,Salty,Nuts,7,Often,Eat
P1513,Menstrual,Spicy,Spicy Snacks,1,Rare,Watch Movie
P1514,Follicular,Salty,Chips,10,Sometimes,Eat
P1515,Ovulation,Fatty,Burger,9,Often,Watch Movie
P1516,Menstrual,Fatty,Cheese,10,Always,Watch Movie
P1517,Menstrual,Spicy,Spicy Snacks,9,Rare,Rest
P1518,Luteal,Salty,Nuts,9,Often,Watch Movie
P1519,Ovulation,Fatty,Cheese,4,Rare,Eat
P1520,Luteal,Sweet,Chocolate,2,Sometimes,Go Out
P1521,Menstrual,Fatty,Fries,7,Sometimes,Rest
P1522,Luteal,Sweet,Ice Cream,4,Often,Watch Movie
P1523,Menstrual,Salty,Nuts,5,Often,Watch Movie
P1524,Luteal,Spicy,Tacos,1,Often,Go Out
P1525,Menstrual,Sweet,Cookies,10,Sometimes,Rest
P1526,Ovulation,None,None,6,Always,Eat
P1527,Ovulation,Sweet,Chocolate,7,Often,Eat
P1528,Follicular,Sweet,Cookies,3,Often,Go Out
P1529,Follicular,Fatty,Cheese,10,Often,Eat
P1530,Follicular,Sweet,Chocolate,2,Always,Eat
P1531,Ovulation,None,None,10,Always,Rest
P1532,Ovulation,None,None,7,Often,Watch Movie
P1533,Luteal,Sweet,Cake,1,Rare,Go Out
P1534,Menstrual,Sweet,Cake,2,Often,Eat
P1535,Ovulation,Sweet,Candy,3,Often,Watch Movie
P1536,Follicular,Salty,Chips,4,Often,Rest
P1537,Ovulation,Spicy,Pizza,5,Often,Rest
P1538,Ovulation,Fatty,Cheese,4,Always,Watch Movie
P1539,Follicular,Salty,Popcorn,10,Sometimes,Watch Movie
P1540,Ovulation,Sweet,Ice Cream,3,Often,Go Out
P1541,Menstrual,Sweet,Cake,1,Often,Eat
P1542,Ovulation,None,None,7,Often,Eat
P1543,Follicular,Fatty,Cheese,10,Often,Rest
P1544,Luteal,Spicy,Tacos,6,Always,Eat
P1545,Menstrual,Spicy,Tacos,2,Sometimes,Eat
P1546,Follicular,Sweet,Cookies,2,Rare,Eat
P1547,Follicular,Spicy,Tacos,3,Often,Rest
P1548,Ovulation,Spicy,Tacos,8,Sometimes,Rest
P1549,Ovulation,Sweet,Ice Cream,8,Sometimes,Rest
P1550,Ovulation,Salty,Chips,10,Often,Eat
P1551,Menstrual,Sweet,Candy,10,Sometimes,Go Out
P1552,Follicular,None,None,10,Often,Rest
P1553,Follicular,Salty,Chips,10,Often,Watch Movie
P1554,Menstrual,Spicy,Spicy Snacks,8,Always,Eat
P1555,Luteal,None,None,7,Always,Watch Movie
P1556,Follicular,Sweet,Cookies,2,Sometimes,Watch Movie
P1557,Luteal,Sweet,Cake,1,Sometimes,Eat
P1558,Menstrual,Sweet,Candy,6,Always,Go Out
P1559,Menstrual,Spicy,Spicy Snacks,8,Always,Rest
P1560,Menstrual,Fatty,Burger,1,Always,Watch Movie
P1561,Follicular,Sweet,Candy,3,Sometimes,Watch Movie
P1562,Luteal,Salty,Nuts,1,Sometimes,Rest
P1563,Luteal,None,None,10,Always,Watch Movie
P1564,Menstrual,Sweet,Cake,9,Always,Eat
P1565,Luteal,Salty,Popcorn,7,Always,Watch Movie
P1566,Follicular,Sweet,Candy,8,Often,Eat
P1567,Follicular,None,None,9,Often,Eat
P1568,Ovulation,Salty,Chips,3,Often,Go Out
P1569,Follicular,Sweet,Ice Cream,10,Often,Eat
P1570,Ovulation,Sweet,Chocolate,2,Often,Watch Movie
P1571,Follicular,Sweet,Cake,6,Sometimes,Rest
P1572,Follicular,Fatty,Burger,5,Rare,Rest
P1573,Menstrual,Sweet,Cookies,4,Sometimes,Go Out
P1574,Luteal,Sweet,Candy,6,Often,Go Out
P1575,Luteal,Spicy,Spicy Snacks,6,Often,Go Out
P1576,Ovulation,Fatty,Burger,3,Always,Eat
P1577,Luteal,Sweet,Chocolate,2,Often,Eat
P1578,Follicular,None,None,9,Often,Watch Movie
P1579,Follicular,Sweet,Cake,8,Often,Eat
P1580,Follicular,Sweet,Ice Cream,4,Sometimes,Eat
P1581,Ovulation,Spicy,Pizza,6,Sometimes,Rest
P1582,Follicular,Sweet,Chocolate,3,Sometimes,Rest
P1583,Menstrual,Sweet,Cake,8,Sometimes,Watch Movie
P1584,Follicular,None,None,3,Often,Go Out
P1585,Follicular,Fatty,Cheese,2,Sometimes,Watch Movie
P1586,Luteal,Sweet,Chocolate,7,Often,Eat
P1587,Luteal,Spicy,Pizza,3,Always,Watch Movie
P1588,Menstrual,Sweet,Candy,9,Often,Go Out
P1589,Luteal,Sweet,Cookies,3,Often,Go Out
P1590,Menstrual,Salty,Nuts,8,Sometimes,Rest
P1591,Follicular,Fatty,Fries,2,Always,Go Out
P1592,Ovulation,None,None,9,Always,Go Out
P1593,Follicular,Fatty,Burger,1,Often,Rest
P1594,Luteal,Fatty,Fries,3,Always,Watch Movie
P1595,Luteal,Sweet,Chocolate,2,Often,Rest
P1596,Follicular,Sweet,Ice Cream,7,Sometimes,Rest
P1597,Menstrual,None,None,5,Often,Watch Movie
P1598,Follicular,Sweet,Cookies,8,Sometimes,Rest
P1599,Menstrual,Sweet,Cookies,2,Often,Watch Movie
P1600,Menstrual,Spicy,Spicy Snacks,8,Often,Go Out
P1601,Ovulation,Fatty,Burger,7,Often,Rest
P1602,Luteal,Fatty,Burger,5,Sometimes,Eat
P1603,Luteal,Sweet,Chocolate,2,Sometimes,Eat
P1604,Menstrual,None,None,10,Rare,Eat
P1605,Menstrual,Spicy,Spicy Snacks,7,Rare,Rest
P1606,Follicular,Spicy,Pizza,10,Sometimes,Go Out
P1607,Menstrual,None,None,4,Often,Watch Movie
P1608,Luteal,Spicy,Tacos,4,Always,Go Out
P1609,Menstrual,Spicy,Spicy Snacks,8,Often,Watch Movie
P1610,Follicular,Sweet,Cookies,6,Often,Eat
P1611,Ovulation,Sweet,Candy,9,Sometimes,Eat
P1612,Ovulation,None,None,2,Always,Watch Movie
P1613,Ovulation,Fatty,Fries,5,Sometimes,Watch Movie
P1614,Luteal,Fatty,Burger,6,Rare,Watch Movie
P1615,Follicular,Salty,Chips,8,Often,Go Out
P1616,Luteal,Salty,Nuts,4,Often,Rest
P1617,Follicular,Salty,Popcorn,7,Sometimes,Rest
P1618,Menstrual,Salty,Popcorn,7,Sometimes,Go Out
P1619,Follicular,Salty,Popcorn,4,Often,Watch Movie
P1620,Menstrual,Sweet,Cake,1,Sometimes,Watch Movie
P1621,Luteal,Sweet,Chocolate,3,Rare,Watch Movie
P1622,Luteal,Salty,Nuts,2,Often,Go Out
P1623,Ovulation,Salty,Chips,3,Often,Go Out
P1624,Luteal,Fatty,Burger,5,Sometimes,Rest
P1625,Follicular,Salty,Nuts,1,Sometimes,Rest
P1626,Menstrual,None,None,5,Sometimes,Eat
P1627,Menstrual,Spicy,Spicy Snacks,2,Sometimes,Rest
P1628,Ovulation,None,None,4,Often,Go Out
P1629,Follicular,Sweet,Cake,6,Often,Watch Movie
P1630,Luteal,Fatty,Burger,9,Often,Go Out
P1631,Luteal,None,None,10,Sometimes,Eat
P1632,Luteal,Sweet,Chocolate,6,Sometimes,Eat
P1633,Follicular,Spicy,Tacos,10,Sometimes,Eat
P1634,Luteal,Sweet,Ice Cream,2,Often,Rest
P1635,Luteal,Fatty,Fries,8,Sometimes,Watch Movie
P1636,Menstrual,Salty,Popcorn,5,Sometimes,Rest
P1637,Ovulation,Sweet,Candy,9,Often,Watch Movie
P1638,Follicular,Sweet,Candy,10,Often,Eat
P1639,Menstrual,Sweet,Chocolate,9,Always,Eat
P1640,Luteal,Fatty,Fries,4,Sometimes,Watch Movie
P1641,Follicular,Fatty,Fries,1,Often,Eat
P1642,Menstrual,Sweet,Cake,9,Sometimes,Eat
P1643,Ovulation,Sweet,Cookies,9,Often,Eat
P1644,Luteal,Salty,Chips,8,Often,Rest
P1645,Ovulation,Sweet,Cake,5,Always,Rest
P1646,Follicular,Fatty,Cheese,5,Often,Rest
P1647,Menstrual,Salty,Popcorn,10,Sometimes,Go Out
P1648,Menstrual,Sweet,Cookies,6,Sometimes,Rest
P1649,Follicular,Sweet,Ice Cream,1,Often,Eat
P1650,Follicular,Fatty,Fries,9,Often,Eat
P1651,Ovulation,Fatty,Fries,5,Sometimes,Rest
P1652,Ovulation,Sweet,Ice Cream,7,Sometimes,Rest
P1653,Ovulation,Sweet,Ice Cream,8,Often,Rest
P1654,Ovulation,Salty,Nuts,5,Rare,Go Out
P1655,Ovulation,Spicy,Tacos,3,Often,Watch Movie
P1656,Follicular,Spicy,Spicy Snacks,6,Often,Rest
P1657,Ovulation,None,None,7,Sometimes,Eat
P1658,Follicular,Salty,Chips,4,Always,Go Out
P1659,Luteal,Sweet,Candy,9,Often,Rest
P1660,Ovulation,Spicy,Spicy Snacks,4,Often,Go Out
P1661,Luteal,Sweet,Cookies,10,Sometimes,Go Out
P1662,Luteal,Spicy,Pizza,2,Often,Go Out
P1663,Follicular,Sweet,Cookies,9,Always,Go Out
P1664,Ovulation,Salty,Nuts,4,Sometimes,Eat
P1665,Follicular,Sweet,Cake,4,Often,Rest
P1666,Luteal,Salty,Nuts,10,Often,Go Out
P1667,Ovulation,None,None,1,Sometimes,Rest
P1668,Ovulation,Sweet,Candy,2,Always,Eat
P1669,Menstrual,Salty,Nuts,3,Often,Go Out
P1670,Menstrual,Sweet,Candy,7,Often,Go Out
P1671,Menstrual,Sweet,Ice Cream,9,Often,Watch Movie
P1672,Menstrual,Sweet,Candy,5,Always,Eat
P1673,Follicular,Fatty,Fries,4,Rare,Go Out
P1674,Ovulation,Spicy,Spicy Snacks,2,Sometimes,Rest
P1675,Luteal,Sweet,Candy,7,Rare,Eat
P1676,Menstrual,Salty,Chips,6,Sometimes,Rest
P1677,Ovulation,Sweet,Cake,7,Sometimes,Rest
P1678,Follicular,None,None,8,Sometimes,Rest
P1679,Luteal,Salty,Popcorn,9,Sometimes,Rest
P1680,Luteal,Sweet,Candy,10,Sometimes,Watch Movie
P1681,Ovulation,Spicy,Tacos,5,Often,Go Out
P1682,Menstrual,Fatty,Burger,5,Often,Rest
P1683,Ovulation,Salty,Nuts,4,Rare,Eat
P1684,Menstrual,Fatty,Fries,3,Sometimes,Rest
P1685,Menstrual,Sweet,Cookies,7,Sometimes,Eat
P1686,Ovulation,None,None,5,Always,Rest
P1687,Luteal,Fatty,Burger,7,Sometimes,Watch Movie
P1688,Follicular,Sweet,Candy,2,Always,Eat
P1689,Follicular,Sweet,Cake,9,Sometimes,Eat
P1690,Luteal,Fatty,Burger,9,Often,Go Out
P1691,Menstrual,Salty,Nuts,9,Often,Eat
P1692,Luteal,Salty,Chips,5,Often,Go Out
P1693,Menstrual,Sweet,Cookies,10,Sometimes,Watch Movie
P1694,Luteal,Fatty,Fries,9,Often,Rest
P1695,Menstrual,Sweet,Cookies,1,Always,Go Out
P1696,Ovulation,None,None,2,Often,Go Out
P1697,Luteal,Spicy,Pizza,10,Sometimes,Watch Movie
P1698,Menstrual,Sweet,Cookies,5,Often,Watch Movie
P1699,Ovulation,None,None,5,Always,Rest
P1700,Ovulation,Salty,Nuts,6,Sometimes,Eat
P1701,Menstrual,Spicy,Tacos,8,Sometimes,Rest
P1702,Follicular,Fatty,Burger,1,Sometimes,Rest
P1703,Menstrual,Salty,Chips,10,Often,Watch Movie
P1704,Follicular,Salty,Chips,9,Always,Rest
P1705,Menstrual,Spicy,Spicy Snacks,4,Often,Eat
P1706,Luteal,Sweet,Candy,8,Always,Rest
P1707,Ovulation,Salty,Chips,5,Always,Rest
P1708,Menstrual,Sweet,Candy,1,Often,Rest
P1709,Ovulation,Salty,Nuts,9,Sometimes,Go Out
P1710,Ovulation,Sweet,Candy,8,Sometimes,Eat
P1711,Menstrual,Sweet,Candy,5,Often,Eat
P1712,Ovulation,None,None,4,Sometimes,Watch Movie
P1713,Menstrual,None,None,8,Always,Go Out
P1714,Ovulation,None,None,9,Often,Rest
P1715,Ovulation,Spicy,Tacos,7,Sometimes,Watch Movie
P1716,Follicular,Sweet,Chocolate,4,Always,Eat
P1717,Menstrual,Salty,Chips,7,Rare,Watch Movie
P1718,Menstrual,None,None,6,Often,Go Out
P1719,Ovulation,Salty,Popcorn,3,Rare,Go Out
